employee_id,full_name,role,department,email,location,date_of_birth,date_of_joining,manager_id,salary,leave_balance,leaves_taken,attendance_pct,performance_rating,last_review_date
FINEMP1000,Ayesha Khan,Sales Manager,Sales,ayesha.khan@finguard.com,Karachi,1991-04-03,2018-11-20,FINEMP1006,1332478.37,22,11,99.31,3,2024-05-21
FINEMP1001,Fatima Ahmed,Credit Officer,Finance,fatima.ahmed@finguard.com,Lahore,1995-09-21,2021-05-20,FINEMP1005,1491158.23,8,3,85.15,5,2024-01-20
FINEMP1002,Zainab Ali,Relationship Manager,Sales,zainab.ali@finguard.com,Islamabad,1993-08-05,2023-04-17,FINEMP1008,1448927.95,21,7,86.31,2,2025-02-11
FINEMP1003,Muhammad Hassan,Business Analyst,Business,muhammad.hassan@finguard.com,Faisalabad,1984-12-20,2018-06-10,FINEMP1003,519865.26,12,5,84.34,1,2024-07-24
FINEMP1004,Ali Raza,Marketing Manager,Marketing,ali.raza@finguard.com,Rawalpindi,1986-03-31,2022-12-20,FINEMP1008,1922205.04,21,10,86.03,3,2024-01-12
FINEMP1005,Hassan Shah,Financial Analyst,Finance,hassan.shah@finguard.com,Multan,1977-05-28,2020-10-31,FINEMP1009,1085205.18,4,4,82.77,2,2024-09-15
FINEMP1006,Sara Khan,QA Engineer,Quality Assurance,sara.khan@finguard.com,Gujranwala,1989-12-26,2021-05-15,FINEMP1004,660681.91,11,10,96.49,2,2024-02-26
FINEMP1007,Zubair Ahmed,Marketing Manager,Marketing,zubair.ahmed@finguard.com,Peshawar,1976-11-01,2020-11-30,FINEMP1000,1149019.58,11,10,82.97,4,2024-01-31
FINEMP1008,Ayesha Siddiqui,Customer Support,Operations,ayesha.siddiqui@finguard.com,Quetta,1977-06-18,2019-02-12,FINEMP1007,370315.98,7,5,96.92,5,2024-08-07
FINEMP1009,Bilal Hussain,Credit Officer,Finance,bilal.hussain@finguard.com,Sialkot,1976-09-21,2021-10-13,FINEMP1009,309717.04,10,4,90.29,2,2025-04-22
FINEMP1010,Usman Ali,HR Manager,HR,usman.ali@finguard.com,Bahawalpur,1996-12-31,2021-10-23,FINEMP1007,1201969.11,10,2,99.98,5,2024-04-20
FINEMP1011,Amna Khan,Business Analyst,Business,amna.khan@finguard.com,Sargodha,1975-03-02,2021-05-21,FINEMP1004,1129637.9,24,7,97.41,5,2024-01-07
FINEMP1012,Ahmed Raza,Security Engineer,Technology,ahmed.raza@finguard.com,Sukkur,1977-08-20,2021-03-14,FINEMP1007,1703783.22,13,1,97.57,3,2024-11-28
FINEMP1013,Fatima Khan,Security Engineer,Technology,fatima.khan@finguard.com,Larkana,1982-02-25,2020-04-12,FINEMP1009,759800.28,8,2,99.38,1,2024-11-06
FINEMP1014,Zara Ahmed,Treasury Analyst,Finance,zara.ahmed@finguard.com,Sheikhupura,1983-11-05,2023-03-25,FINEMP1002,467884.86,17,8,87.03,3,2024-06-18
FINEMP1015,Hina Ali,HR Manager,HR,hina.ali@finguard.com,Jhang,1994-07-14,2018-08-17,FINEMP1001,1074426.0,1,0,86.84,4,2024-07-06
FINEMP1016,Sadia Khan,Relationship Manager,Sales,sadia.khan@finguard.com,Rahim Yar Khan,1980-10-27,2020-07-10,FINEMP1003,1876390.13,28,5,85.52,5,2025-03-16
FINEMP1017,Nadia Hussain,DevOps Engineer,Technology,nadia.hussain@finguard.com,Gujrat,1977-05-17,2019-10-20,FINEMP1004,526736.68,20,6,88.24,1,2025-04-10
FINEMP1018,Imran Khan,Compliance Officer,Compliance,imran.khan@finguard.com,Mardan,1975-11-20,2024-11-17,FINEMP1001,480639.52,29,17,89.53,5,2024-05-09
FINEMP1019,Amina Ahmed,Relationship Manager,Sales,amina.ahmed@finguard.com,Charsadda,1985-08-21,2019-03-06,FINEMP1000,443210.71,11,3,87.92,5,2024-12-20
